agent 1 and landmark 1   p_force[a][-7.44892925e-04  2.99202508e+00],p_force[b][ 3.99679613e+00 -9.87782842e-05] f_a[-1.34674255e-251  1.59172436e-252],f_bNone
agent 2 and agent 3   p_force[a][2.99984515e+00 1.38470656e-04],p_force[b][ 3.99679613e+00 -9.87782842e-05] f_a[-7.94885268e-254  3.10424921e-254],f_b[ 7.94885268e-254 -3.10424921e-254]
agent 2 and landmark 0   p_force[a][2.99984515e+00 1.38470656e-04],p_force[b][ 3.99679613e+00 -9.87782842e-05] f_a[-0.  0.],f_bNone
agent 2 and landmark 1   p_force[a][2.99984515e+00 1.38470656e-04],p_force[b][ 3.99679613e+00 -9.87782842e-05] f_a[0. 0.],f_bNone
agent 3 and landmark 0   p_force[a][ 3.99679613e+00 -9.87782842e-05],p_force[b][ 3.99679613e+00 -9.87782842e-05] f_a[0. 0.],f_bNone
agent 3 and landmark 1   p_force[a][ 3.99679613e+00 -9.87782842e-05],p_force[b][ 3.99679613e+00 -9.87782842e-05] f_a[0. 0.],f_bNone
landmark 0 and landmark 1   p_force[a][ 3.99679613e+00 -9.87782842e-05],p_force[b][ 3.99679613e+00 -9.87782842e-05] f_aNone,f_bNone
agent 0 and agent 1   p_force[a][ 2.99483782e+00 -6.02770051e-05],p_force[b][0.03311433 2.95696199] f_a[ 1.16004210e-144 -2.23773892e-145],f_b[-1.16004210e-144  2.23773892e-145]
agent 0 and agent 2   p_force[a][ 2.99483782e+00 -6.02770051e-05],p_force[b][2.99952185e+00 2.55241852e-04] f_a[-0. -0.],f_b[0. 0.]
agent 0 and agent 3   p_force[a][ 2.99483782e+00 -6.02770051e-05],p_force[b][ 3.99230742e+00 -1.80658279e-03] f_a[-0. -0.],f_b[0. 0.]
agent 0 and landmark 0   p_force[a][ 2.99483782e+00 -6.02770051e-05],p_force[b][ 3.99230742e+00 -1.80658279e-03] f_a[-0.  0.],f_bNone
agent 0 and landmark 1   p_force[a][ 2.99483782e+00 -6.02770051e-05],p_force[b][ 3.99230742e+00 -1.80658279e-03] f_a[-6.91583514e-49  1.42870115e-49],f_bNone
agent 1 and agent 2   p_force[a][0.03311433 2.95696199],p_force[b][2.99952185e+00 2.55241852e-04] f_a[-0. -0.],f_b[0. 0.]
agent 1 and agent 3   p_force[a][0.03311433 2.95696199],p_force[b][ 3.99230742e+00 -1.80658279e-03] f_a[-0. -0.],f_b[0. 0.]
agent 1 and landmark 0   p_force[a][0.03311433 2.95696199],p_force[b][ 3.99230742e+00 -1.80658279e-03] f_a[-0.  0.],f_bNone
agent 1 and landmark 1   p_force[a][0.03311433 2.95696199],p_force[b][ 3.99230742e+00 -1.80658279e-03] f_a[-1.79408709e-256  3.56994714e-257],f_bNone
agent 2 and agent 3   p_force[a][2.99952185e+00 2.55241852e-04],p_force[b][ 3.99230742e+00 -1.80658279e-03] f_a[-3.49606351e-263  1.31889750e-263],f_b[ 3.49606351e-263 -1.31889750e-263]
agent 2 and landmark 0   p_force[a][2.99952185e+00 2.55241852e-04],p_force[b][ 3.99230742e+00 -1.80658279e-03] f_a[-0.  0.],f_bNone
agent 2 and landmark 1   p_force[a][2.99952185e+00 2.55241852e-04],p_force[b][ 3.99230742e+00 -1.80658279e-03] f_a[0. 0.],f_bNone
agent 3 and landmark 0   p_force[a][ 3.99230742e+00 -1.80658279e-03],p_force[b][ 3.99230742e+00 -1.80658279e-03] f_a[0. 0.],f_bNone
agent 3 and landmark 1   p_force[a][ 3.99230742e+00 -1.80658279e-03],p_force[b][ 3.99230742e+00 -1.80658279e-03] f_a[0. 0.],f_bNone
landmark 0 and landmark 1   p_force[a][ 3.99230742e+00 -1.80658279e-03],p_force[b][ 3.99230742e+00 -1.80658279e-03] f_aNone,f_bNone
