agent 1 and agent 2   p_force[a][ 0.01886622 -2.98082614],p_force[b][ 2.60157233 -0.35709961] f_a[ 5.47717786e-92 -5.00270096e-92],f_b[-5.47717786e-92  5.00270096e-92]
agent 1 and agent 3   p_force[a][ 0.01886622 -2.98082614],p_force[b][3.99996233e+00 5.01788691e-08] f_a[-0.  0.],f_b[ 0. -0.]
agent 1 and landmark 0   p_force[a][ 0.01886622 -2.98082614],p_force[b][3.99996233e+00 5.01788691e-08] f_a[-8.19799783e-83  3.92044243e-83],f_bNone
agent 1 and landmark 1   p_force[a][ 0.01886622 -2.98082614],p_force[b][3.99996233e+00 5.01788691e-08] f_a[0. 0.],f_bNone
agent 2 and agent 3   p_force[a][ 2.60157233 -0.35709961],p_force[b][3.99996233e+00 5.01788691e-08] f_a[-0.  0.],f_b[ 0. -0.]
agent 2 and landmark 0   p_force[a][ 2.60157233 -0.35709961],p_force[b][3.99996233e+00 5.01788691e-08] f_a[-7.17488694e-234  4.64021693e-234],f_bNone
agent 2 and landmark 1   p_force[a][ 2.60157233 -0.35709961],p_force[b][3.99996233e+00 5.01788691e-08] f_a[-0.  0.],f_bNone
agent 3 and landmark 0   p_force[a][3.99996233e+00 5.01788691e-08],p_force[b][3.99996233e+00 5.01788691e-08] f_a[ 0. -0.],f_bNone
agent 3 and landmark 1   p_force[a][3.99996233e+00 5.01788691e-08],p_force[b][3.99996233e+00 5.01788691e-08] f_a[0. 0.],f_bNone
landmark 0 and landmark 1   p_force[a][3.99996233e+00 5.01788691e-08],p_force[b][3.99996233e+00 5.01788691e-08] f_aNone,f_bNone
agent 0 and agent 1   p_force[a][ 0.37220641 -2.5058527 ],p_force[b][ 0.02055045 -2.97724843] f_a[ 8.50546596e-190 -4.92849127e-188],f_b[-8.50546596e-190  4.92849127e-188]
agent 0 and agent 2   p_force[a][ 0.37220641 -2.5058527 ],p_force[b][ 0.64481445 -2.11945832] f_a[ 0. -0.],f_b[-0.  0.]
agent 0 and agent 3   p_force[a][ 0.37220641 -2.5058527 ],p_force[b][3.99944186e+00 1.76691765e-06] f_a[-0.  0.],f_b[ 0. -0.]
agent 0 and landmark 0   p_force[a][ 0.37220641 -2.5058527 ],p_force[b][3.99944186e+00 1.76691765e-06] f_a[-4.65929038e-145 -5.13540235e-145],f_bNone
agent 0 and landmark 1   p_force[a][ 0.37220641 -2.5058527 ],p_force[b][3.99944186e+00 1.76691765e-06] f_a[3.00064265e-158 1.58256018e-157],f_bNone
agent 1 and agent 2   p_force[a][ 0.02055045 -2.97724843],p_force[b][ 0.64481445 -2.11945832] f_a[ 2.37193057e-94 -3.31215884e-94],f_b[-2.37193057e-94  3.31215884e-94]
agent 1 and agent 3   p_force[a][ 0.02055045 -2.97724843],p_force[b][3.99944186e+00 1.76691765e-06] f_a[-0.  0.],f_b[ 0. -0.]
